"cliente","oficina","ingresos","viviendatipo","viviendavalor","estadocivil","lineasdevale","montosdelineas","dependientes","fechanacimiento","default"
"2907702","29","0","familiar","350000","casado","3","104144","0","19540829","0"
"2907703","29","0","familiar","0","soltero","0","0","0","19761211","1"
"2907714","29","0","propia","592549.98","casado","3","115000","1","19780129","0"
"2907715","29","0","","0","casado","0","0","0","19811126","0"
"2907717","29","28100","familiar","550000","soltero","3","169126.83","1","19630521","0"
"2907724","29","0","familiar","0","soltero","0","0","0","19550515","0"
"2907726","29","0","","0","casado","0","0","0","19730330","0"
"2907742","29","19600","propia","600000","casado","1","110000","1","19590724","0"
"2907755","29","0","familiar","0","casado","0","0","0","19771128","0"
"2907808","29","12000","familiar","1200000","casado","0","0","3","19720211","0"
"2907827","29","22800","familiar","374963","union_libre","0","0","1","19830927","0"
"2907883","29","30000","familiar","396717.06","union_libre","1","40000","4","19790611","0"
"2907953","29","0","familiar","0","union_libre","0","0","0","19740418","0"
"2907954","29","18000","familiar","300000","casado","2","425976","3","19880726","0"
"2907962","29","0","familiar","350000","union_libre","0","0","3","19800708","1"
"2907966","29","49200","familiar","450000","casado","7","962225","3","19720511","0"
"2907974","29","13250","familiar","250000","union_libre","2","100000","2","19950723","0"
"2908023","29","0","familiar","0","casado","0","0","0","19730720","0"
"2908024","29","15000","","750000","union_libre","0","0","4","19740524","1"
"2908025","29","22200","familiar","500000","casado","4","438921.23","2","19811124","0"
"2908026","29","19000","propia","400000","soltero","0","0","0","19680530","0"
"2908044","29","31200","propia","650000","union_libre","3","125000","2","19740503","0"
"2908050","29","0","familiar","0","casado","0","0","0","19790723","0"
"2908084","29","0","familiar","200000","soltero","5","4004388","1","19670123","0"
"2908086","29","0","familiar","450000","casado","4","569706","2","19780215","0"
"2908088","29","9000","familiar","900000","casado","1","15000","2","19850105","1"
"2908187","29","0","propia","500000","casado","2","108663","1","19661114","0"
"2908196","29","0","propia","483000","casado","0","0","4","19661130","0"
"2908214","29","0","familiar","450000","union_libre","0","0","2","19820922","0"
"2908215","29","0","familiar","450000","casado","1","140000","4","19741030","0"
"2908225","29","0","","450000","casado","2","170000","1","19760701","1"
"2908228","29","0","propia","600000","casado","0","0","2","19810106","1"
"2908229","29","0","","250000","union_libre","1","60000","3","19780924","1"
"2908244","29","0","familiar","700000","soltero","2","579569","3","19880124","0"
"2908255","29","36000","familiar","450000","casado","2","289000","3","19930109","0"
"2908305","29","0","propia","250000","union_libre","2","150000","2","19630518","0"
"2908342","29","0","propia","500000","casado","4","586529","0","19750314","0"
"2908343","29","0","familiar","413000","casado","3","195000","1","19830704","0"
"2908422","29","0","propia","1000000","unión libre","1","40000","2","19681209","0"
"2908423","29","0","familiar","274546","soltero","1","75000","2","19720717","0"
"2908518","29","0","familiar","350000","casado","3","300000","3","19800517","0"
"2908519","29","0","propia","300000","casado","2","217985","2","19731026","0"
"2908521","29","0","familiar","350000","casado","0","0","3","19731105","0"
"2908522","29","0","propia","640000","casado","2","95000","0","19590206","0"
"2908523","29","0","familiar","250000","union_libre","0","0","0","19770819","1"
"2908524","29","3906","familiar","250000","soltero","1","50000","4","19850327","0"
"2908601","29","0","familiar","1000000","casado","0","0","0","19560414","0"
"2908648","29","0","propia","420000","casado","2","117623","1","19710711","0"
"2908693","29","29000","propia","400000","casado","1","23000","0","19810403","0"
"2908731","29","0","familiar","350000","casado","0","0","2","19851022","0"
"2908745","29","34200","familiar","600000","soltero","2","130000","2","19870712","0"
"2908779","29","0","familiar","450000","casado","0","0","0","19650418","0"
"2908824","29","0","familiar","6000000","union_libre","4","484040","2","19741025","0"
"2908825","29","0","familiar","300000","casado","2","75000","3","19820817","0"
"2908826","29","0","familiar","280000","casado","3","174000","2","19851217","1"
"2908857","29","0","familiar","350000","casado","0","0","1","19820825","0"
"2908859","29","3233.24","propia","350000","soltero","5","571210.99","1","19730830","0"
"2909078","29","0","familiar","800000","casado","0","0","3","19850410","0"
"2909079","29","0","familiar","400000","casado","2","87471","2","19831214","0"
"2909150","29","0","propia","2500000","casado","2","98900","0","19650726","0"
"2909263","29","0","familiar","770000","soltero","0","0","0","19631106","1"
"2909264","29","0","propia","320000","casado","1","80000","3","19740625","0"
"2909343","29","28000","familiar","880000","casado","2","430000","3","19850508","0"
"2909437","29","31000","propia","700000","union_libre","0","0","1","19890225","0"
"2909438","29","26300","familiar","400000","soltero","2","60000","0","19691014","1"
"2909439","29","24500","propia","700000","union_libre","2","140000","2","19780904","0"
"2909440","29","26000","familiar","700000","union_libre","1","119000","4","19860531","0"
"2909549","29","25500","familiar","550000","casado","2","87870","2","19780826","0"
"2909550","29","30100","familiar","550000","casado","4","395000","2","19840606","1"
"2909551","29","21500","familiar","900000","casado","2","170878","3","19850822","0"
"2909555","29","19600","propia","600000","soltero","2","424000","2","19800714","0"
"2909556","29","33500","familiar","800000","casado","1","94000","0","19611122","0"
"2909557","29","8600","familiar","250000","soltero","1","177000","2","19730422","0"
"2909566","29","16900","familiar","650000","casado","2","150000","2","19821120","0"
"2909571","29","36800","familiar","450000","casado","1","18000","0","19720909","0"
"2909610","29","19000","familiar","350000","union_libre","2","340000","2","19820701","0"
"2909692","29","20600","familiar","450000","union_libre","1","82000","2","19771001","1"
"2909731","29","21900","familiar","2200000","casado","2","77000","0","19711108","0"
"2909846","29","21400","familiar","380000","soltero","2","210000","0","19590315","0"
"2909873","29","31000","familiar","850000","casado","1","27000","3","19760625","0"
"2909888","29","21700","familiar","260000","casado","1","15000","2","19820716","0"
"2909916","29","24900","familiar","500000","casado","0","0","0","19631110","0"
"2909928","29","20500","familiar","550000","soltero","3","93908","0","19541117","0"
"2909930","29","33200","familiar","450000","casado","2","52881.5","1","19760304","0"
"2909932","29","33700","familiar","500000","union_libre","5","1165696.34","3","19780924","0"
"2909937","29","-100","","600000","soltero","4","201868","2","19890123","1"
"2909964","29","38000","familiar","353000","union_libre","3","105444","1","19800109","0"
"2910015","29","13800","familiar","700000","casado","2","165000","0","19600801","1"
"2910016","29","32400","familiar","450000","casado","4","161000","0","19590406","0"
"2910036","29","30000","familiar","500000","union_libre","2","323000","3","19810627","0"
"2910113","29","18100","propia","700000","soltero","3","351231.09","0","19560428","0"
"2910114","29","23600","familiar","450000","casado","1","120000","1","19770511","0"
"2910131","29","18600","propia","500000","casado","3","399000","4","19790905","0"
"2910200","29","9500","familiar","500000","union_libre","2","61000","3","19890507","0"
"2910201","29","23100","propia","300000","union_libre","1","89217","1","19810312","0"
"2910202","29","27500","familiar","500000","casado","4","594438.28","2","19870603","0"
"2910278","29","18700","familiar","750000","casado","1","120000","3","19880608","0"
"2910279","29","29300","familiar","350000","unión libre","0","0","1","19861216","0"
"2910351","29","32800","propia","800000","casado","2","165000","0","19650423","0"
"2910352","29","17600","familiar","450000","casado","2","151000","2","19820527","0"
"2910354","29","16300","familiar","400000","casado","0","0","0","19631205","0"
"2910367","29","41000","familiar","850000","casado","4","264000","2","19821207","0"
"2910524","29","48800","familiar","700000","casado","3","252500","3","19901008","0"
"2910526","29","24500","familiar","550000","casado","1","194000","3","19800331","0"
"2910527","29","41060","familiar","600000","casado","4","253089","0","19580919","0"
"2910536","29","34100","familiar","450000","casado","5","355000","1","19780226","0"
"2910573","29","41500","familiar","250000","union_libre","3","90000","5","19860420","1"
"2910576","29","17900","familiar","350000","casado","3","210420","2","19800716","0"
"2910626","29","18500","familiar","450000","casado","1","50000","2","19880519","0"
"2910627","29","27800","familiar","750000","union_libre","1","50000","2","19770228","0"
"2910628","29","19000","familiar","450000","casado","2","383151","0","19581005","0"
"2910629","29","27000","familiar","550000","casado","2","129313","2","19740827","0"
"2910630","29","25200","propia","550000","casado","3","353643","2","19830126","0"
"2910672","29","53000","familiar","950000","union_libre","1","200000","1","19810417","0"
"2910724","29","51000","familiar","350000","casado","3","417000","1","19720108","0"
"2910878","29","29800","familiar","450000","casado","0","0","1","19891023","0"
"2910882","29","12500","propia","500000","casado","2","125000","3","19670205","0"
"2910910","29","24100","familiar","350000","casado","3","105000","2","19860610","0"
"2910911","29","26500","propia","450000","soltero","1","35000","2","19710207","0"
"2910980","29","45500","familiar","450000","soltero","5","223000","0","19710528","0"
"2910983","29","44900","familiar","450000","union_libre","5","644340.19","1","19880816","0"
"2911059","29","24000","familiar","450000","casado","2","180000","2","19791201","0"
"2911060","29","27500","propia","650000","casado","4","260000","2","19730302","0"
"2911118","29","33500","familiar","350000","casado","0","0","4","19671223","0"
"2911119","29","15000","familiar","450000","casado","1","79204","1","19641229","0"
"2911144","29","33000","familiar","550000","casado","3","470679","0","19760423","0"
"2911145","29","46000","familiar","900000","casado","2","90000","2","19730710","0"
"2911266","29","27800","propia","400000","union_libre","4","375062.67","1","19690629","0"
"2911299","29","17000","familiar","350000","casado","1","75000","3","19830403","0"
"2911301","29","16600","familiar","300000","casado","2","280000","1","19861113","1"
"2911303","29","14900","familiar","250000","union_libre","2","50000","0","19760223","0"
"2911394","29","23600","propia","400000","casado","2","150303","2","19670224","0"
"2911395","29","30500","propia","380000","union_libre","3","569133","1","19851215","0"
"2911396","29","25600","familiar","500000","casado","2","183000","5","19840121","0"
"2911397","29","13500","propia","300000","soltero","2","186000","0","19560830","1"
"2911398","29","27000","familiar","450000","soltero","0","0","3","19851211","0"
"2911401","29","26400","propia","500000","casado","3","307200","0","19701224","0"
"2911402","29","6100","propia","650000","casado","4","200000","0","19661125","0"
"2911500","29","15000","familiar","650000","soltero","0","0","0","19640910","0"
"2911501","29","32000","familiar","450000","union_libre","2","300000","0","19690912","0"
"2911502","29","22600","familiar","350000","union_libre","1","118000","0","19620625","0"
"2911520","29","25000","familiar","450000","union_libre","1","79431","2","19690727","1"
"2911667","29","27600","propia","350000","soltero","2","87500","0","19711027","0"
"2911669","29","27600","propia","900000","casado","3","152890","2","19730714","0"
"2911670","29","25800","familiar","450000","casado","2","50000","2","19870111","0"
"2911671","29","25500","familiar","450000","casado","2","548392","1","19810618","0"
"2911711","29","25200","propia","300000","casado","2","371000","1","19720402","1"
"2911712","29","68000","familiar","900000","casado","0","0","3","19831011","1"
"2911723","29","7900","familiar","150000","soltero","2","65500","0","19600714","1"
"2911900","29","12900","propia","400000","casado","1","20000","2","19831011","0"
"2911901","29","28500","propia","680000","casado","3","386000","2","19770321","1"
"2912058","29","27360","propia","410000","casado","3","232175.23","2","19840215","0"
"2912132","29","34940","familiar","420000","casado","4","675000","0","19710727","0"
"2912137","29","21500","propia","450000","casado","3","215000","2","19751207","0"
"2912199","29","17000","familiar","450000","casado","1","88000","0","19651012","0"
"2912397","29","18000","familiar","380000","casado","0","0","3","19731011","1"
"2912711","29","22800","familiar","421000","casado","3","255000","2","19710408","0"
"2912812","29","22300","familiar","800000","soltero","2","110000","2","19951023","0"
"2912815","29","14600","propia","390000","union_libre","3","175000","1","19940804","0"
"2912816","29","16400","propia","300000","casado","2","95000","1","19661226","0"
"2912911","29","6200","familiar","500000","soltero","1","73000","2","19920323","0"
"2912912","29","12000","familiar","400000","casado","3","147000","4","19751201","0"
"2912956","29","16000","propia","300000","soltero","3","205000","2","19751221","1"
"2912957","29","32000","propia","350000","soltero","2","62500","1","19931015","1"
"2912986","29","24200","propia","320000","union_libre","4","274000","2","19730210","0"
"2912988","29","17950","propia","320000","soltero","2","105000","3","19911020","0"
"2913046","29","26700","familiar","400000","casado","2","190000","3","19760906","0"
"2913168","29","11600","familiar","400000","union_libre","2","96000","1","19750211","1"
"2913209","29","30410","familiar","800000","soltero","3","292413","1","19700807","0"
"2913214","29","34700","familiar","615000","casado","3","89571","2","19890812","0"
"2913253","29","50750","familiar","250000","casado","2","38000","0","19931117","1"
"2913297","29","28200","propia","600000","casado","0","0","3","19880111","0"
"2913476","29","19000","familiar","500000","soltero","1","327626.84","0","19911020","0"
"2913518","29","14800","propia","400000","union_libre","0","0","0","19710712","0"
"2913644","29","42600","propia","600000","soltero","1","20000","1","19721005","1"
"2913645","29","136000","familiar","700000","casado","1","151711","2","19790920","0"
"2913697","29","23400","familiar","380000","union_libre","2","355000","3","19970227","1"
"2913771","29","48136","familiar","550000","casado","3","488774","0","19710615","0"
"2913772","29","15700","propia","300000","casado","2","120000","1","19870303","0"
"2913773","29","12000","propia","320000","union_libre","3","110982","4","19940528","0"
"2913775","29","15400","familiar","450000","union_libre","1","136905","2","19840921","0"
"2913776","29","21600","propia","300000","casado","3","82000","1","19841110","0"
"2913804","29","17880","propia","380000","soltero","2","189707","0","19780607","1"
"2913805","29","28500","familiar","600000","casado","1","165000","1","19930629","0"
"2913950","29","19100","familiar","350000","casado","2","65000","1","19800311","0"
"2914003","29","18300","familiar","300000","casado","1","55935","0","19690515","0"
"2914087","29","21640","propia","350000","casado","1","65888","0","19671120","0"
"2914150","29","16300","propia","350000","soltero","2","80000","2","19820216","0"
"2914151","29","41300","propia","500000","casado","6","646502","0","19710517","0"
"2914237","29","15000","propia","450000","soltero","2","70000","1","19780605","0"
"2914238","29","21000","propia","350000","casado","1","100000","3","19740322","0"
"2914327","29","13100","familiar","600000","soltero","2","80000","1","19781105","0"
"2914328","29","20000","familiar","180000","casado","2","71000","2","19821031","1"
"2914515","29","16600","familiar","900000","soltero","3","476838","3","19780324","0"
"2914589","29","25400","familiar","400000","union_libre","3","178101","2","19780819","1"
"2914605","29","31200","familiar","60000","soltero","1","380000","2","19950210","0"
"2914744","29","41200","familiar","400000","casado","3","460988","3","19800806","0"
"2914796","29","49400","familiar","480000","casado","0","0","3","19880716","1"
"2914819","29","27900","propia","450000","casado","2","103585","1","19741210","0"
"2914841","29","42000","propia","450000","casado","1","26575","3","19821206","0"
"2914876","29","56450","propia","450000","casado","0","0","4","19740318","0"
"2914890","29","16000","familiar","500000","casado","1","85000","2","19641126","0"
"2914894","29","12700","propia","450000","soltero","5","218693","1","19951107","0"
"2914941","29","16000","propia","450000","soltero","0","0","0","19860529","0"
"2914988","29","51000","familiar","650000","union_libre","0","0","0","19650528","0"
"2914995","29","19100","familiar","600000","casado","1","9033","0","19680812","0"
"2915009","29","33400","propia","450000","union_libre","0","0","2","19901228","0"
"2915033","29","13500","familiar","400000","soltero","2","122000","4","19980523","1"
"2915042","29","20800","familiar","650000","union_libre","0","0","2","20000229","0"
"2915093","29","19400","propia","450000","casado","6","448500","1","19720219","0"
"2915131","29","35400","familiar","790000","casado","2","231005","1","19740310","0"
"2915139","29","30500","propia","450000","union_libre","0","0","3","19910508","0"
"2915166","29","15000","familiar","600000","soltero","0","0","1","19600813","0"
"2915185","29","24500","propia","200000","union_libre","1","15000","2","19931102","1"
"2915214","29","30300","propia","400000","soltero","1","75892","1","19930301","1"
"2915239","29","33200","familiar","700000","casado","1","14625","2","19701122","0"
"2915272","29","37300","familiar","350000","union_libre","5","579909","1","19820915","1"
"2915297","29","28807","familiar","700000","casado","1","63000","2","19751101","0"
"2915333","29","37600","familiar","600000","soltero","1","60000","1","19930112","0"
"2915339","29","19500","familiar","680000","casado","2","104900","1","19740413","0"
"2915422","29","13800","propia","460000","soltero","1","16800","2","19781219","0"
"2915468","29","28000","familiar","550000","union_libre","0","0","1","19960731","0"
"2915470","29","28800","familiar","400000","soltero","2","104000","1","19991111","1"
"2915508","29","35000","familiar","540000","casado","2","1328356","2","19790714","0"
"2915562","29","24200","propia","450000","casado","1","185000","3","19780329","0"
"2915604","29","10000","propia","650000","union_libre","6","500018","0","19680826","1"
"2915605","29","26700","familiar","300000","casado","0","0","2","19740130","0"
"2915631","29","17000","propia","500000","soltero","2","90000","0","19990327","1"
"2915653","29","24000","familiar","360000","casado","1","15000","4","20000403","1"
"2915664","29","36000","familiar","345000","union_libre","0","0","0","19750910","0"
"2915675","29","25000","familiar","600000","casado","1","57090","0","19681205","0"
"2915676","29","45500","familiar","600000","soltero","3","235025","3","19900501","0"
"2915688","29","14900","familiar","470000","soltero","0","0","2","19890819","0"
"2915690","29","15000","familiar","650000","soltero","0","0","0","19860224","0"
"2915723","29","-100","familiar","320000","union_libre","2","68793","1","19820911","1"
"2915730","29","75000","propia","450000","casado","1","21799","3","19850111","1"
"2915740","29","47400","familiar","450000","union_libre","7","784423","3","19800906","0"
"2915776","29","33000","familiar","1110000","soltero","1","40000","3","19860907","0"
"2915819","29","22000","propia","450000","casado","6","624997","2","19820502","1"
"2915831","29","21000","propia","450000","soltero","1","61817","2","19850808","1"
"2915836","29","40000","familiar","800000","union_libre","5","415000","3","19820913","1"
"2915849","29","14000","familiar","360000","union_libre","2","68139","3","19890820","0"
"2915850","29","28000","familiar","600000","soltero","5","510337","4","19620831","0"
"2915852","29","6000","familiar","400000","soltero","2","90000","0","19720704","0"
"2915928","29","25800","familiar","480000","casado","1","50000","2","19930104","0"
"2915937","29","26000","propia","500000","casado","1","38794","2","19881024","0"
"2915955","29","25000","propia","350000","casado","4","179484","3","19940423","0"
"2915964","29","30000","propia","490000","casado","5","400000","2","19731228","0"
"2915966","29","30000","propia","500000","casado","3","20000","0","19730316","1"
"2915989","29","21000","propia","600000","union_libre","2","75000","2","19880131","0"
"2916000","29","15000","familiar","370000","casado","1","61332","3","19920615","0"
"2916009","29","38000","propia","600000","union_libre","1","102664","2","19900521","0"
"2916073","29","40000","familiar","710000","casado","1","65000","3","19870828","1"
"2916075","29","22000","familiar","600000","union_libre","2","90000","2","19860406","0"
"2916077","29","29400","propia","520000","casado","0","0","2","19740729","0"
"2916096","29","42000","familiar","950000","casado","2","55000","0","19700729","0"
"2916170","29","8500","propia","280000","casado","2","135000","0","19830505","0"
"2916171","29","17000","propia","450000","casado","0","0","1","19740224","0"
"2916205","29","14400","familiar","341000","soltero","4","205854","2","19820315","0"
"2916297","29","75000","familiar","900000","casado","0","0","2","19711011","1"
"2916298","29","32900","familiar","500000","union_libre","7","0","0","19640901","1"
"2916318","29","28600","propia","400000","union_libre","2","45000","3","19931227","1"
"3000104","30","19115","familiar","450000","casado","2","175000","2","19850629","0"
"3000359","30","0","familiar","0","casado","0","0","0","19870223","1"
"3001016","30","55000","","200000","casado","3","515000","2","19831231","0"
"300110","50","32000","familiar","800000","casado","9","732397","0","19711223","0"
"3001112","30","0","familiar","350000","union_libre","0","0","0","19561112","0"
"3001511","30","49636","familiar","2000000","casado","6","372487","1","19810215","0"
"3001811","30","0","familiar","200000","soltero","0","0","2","19671223","1"
"3001831","30","70000","familiar","130000","casado","5","182345","2","19730318","0"
"3001841","30","0","familiar","250000","casado","1","60000","2","19851119","0"
"3001997","30","0","familiar","350000","casado","2","121000","2","19810822","0"
"3002059","30","-100","familiar","800000","union_libre","5","328982","0","19780920","0"
"300207","3","22000","familiar","250000","casado","2","136084","1","19860125","0"
"300252","43","29400","propia","550000","casado","0","0","3","19780119","0"
"3002651","30","5174.53","familiar","350000","soltero","1","60000","0","19890528","1"
"3002733","30","28116","familiar","585000","casado","0","0","2","19770920","0"
"3002886","30","0","propia","148000","union_libre","2","106000","0","19700819","1"
"3002945","30","21858","propia","635000","casado","2","183400","1","19680916","0"
"3003039","30","0","familiar","300000","union_libre","3","110000","2","19780708","0"
"3003792","30","19300","familiar","400000","union_libre","2","46300","2","19740220","0"
"3003847","30","0","familiar","250000","casado","1","14000","0","19550211","0"
"300407","3","14800","familiar","250000","soltero","2","697000","2","19611213","1"
"300409","3","16200","familiar","250000","casado","3","228288","1","19740401","0"
"300434","3","18400","familiar","420000","soltero","9","755501","1","19710419","0"
"3004472","30","0","propia","250000","casado","1","30000","0","19890708","1"
"3004522","30","23400","familiar","700000","casado","4","250617.83","3","19820111","0"
"3005113","30","16000","familiar","800000","union_libre","1","30000","2","19850806","0"
"3005199","30","0","familiar","300000","soltero","2","120000","2","19700208","0"
"3005303","30","0","familiar","250000","casado","2","90000","0","19620212","1"
"3005306","30","40000","familiar","900000","casado","3","574536","1","19561122","0"
"3005399","30","0","propia","250000","casado","4","330000","1","19730701","0"
"300564","3","65000","familiar","400000","casado","6","404210","3","19750219","0"
"3005764","30","29930.74","familiar","280000","union_libre","2","120404","3","19900524","0"
"3006127","30","0","familiar","200000","union_libre","1","30000","1","19940620","0"
"3006242","30","29711","","380000","casado","4","181507","0","19640727","0"
"3006297","30","0","familiar","300000","soltero","2","155000","0","19800812","1"
"3006389","30","24600","propia","350000","soltero","3","185000","1","19740409","0"
"3006498","30","17550","propia","320000","union_libre","1","45000","2","19861211","1"
"3006512","30","5420","familiar","300000","union_libre","1","70000","3","19840606","0"
"3006626","30","20500","familiar","200000","union_libre","1","62000","2","19841213","0"
"300669","43","0","propia","850000","casado","0","0","2","19751111","0"
"3006913","30","19000","propia","200000","soltero","2","177400","2","19790908","0"
"3007015","30","39400","familiar","1600000","casado","1","30000","3","19770705","0"
"3007274","30","49658","familiar","3500000","casado","6","481028","3","19770531","0"
"3007340","30","0","propia","450000","casado","0","0","3","19680410","1"
"3007365","30","0","propia","250000","soltero","2","115000","0","19691206","0"
"3007369","30","0","familiar","400000","soltero","2","108000","0","19840904","0"
"3007397","30","5984","propia","180000","soltero","2","68450","0","19670106","1"
"3007413","30","0","familiar","250000","soltero","2","68000","1","19801106","0"
"3007439","30","0","propia","900000","soltero","3","320387","2","19711005","0"
"3007466","30","29300","familiar","250000","casado","3","161000","0","19630619","1"
"3007480","30","0","","250000","soltero","2","41500","1","19950728","0"
"3007549","30","0","propia","208000","casado","1","26000","2","19880531","1"
"3007610","30","0","familiar","190000","soltero","2","62000","1","19870213","0"
"3007611","30","17200","familiar","420000","casado","3","240000","2","19650103","1"
"3007613","30","0","propia","350000","soltero","0","0","0","19741102","1"
"3007629","30","15070","propia","266000","soltero","1","13200","1","19671117","0"
"3007631","30","25200","familiar","300000","casado","1","75000","1","19760329","0"
"3007643","30","6595.4","familiar","250000","union_libre","1","30000","3","19810108","0"
"3007689","30","0","propia","320000","casado","2","349000","2","19760113","0"
"3007709","30","0","familiar","350000","soltero","2","129000","2","19890302","0"
"3007712","30","0","propia","295000","soltero","0","0","0","19740201","1"
"3007714","30","26400","familiar","300000","soltero","2","583745","0","19940318","0"
"3007718","30","0","propia","450000","soltero","3","150000","0","19540106","0"
"3007720","30","0","propia","600000","union_libre","0","0","4","19830601","1"
"3007722","30","0","propia","800000","soltero","3","137969.65","0","19720528","0"
"3007837","30","0","propia","180000","union_libre","1","30000","2","19721001","0"
"3007855","30","4619.4","propia","200000","soltero","2","160000","2","19660906","1"
"3007925","30","0","propia","250000","casado","2","60000","2","19731220","0"
"3007935","30","7997","familiar","200000","soltero","2","352000","3","19750110","0"
"3007966","30","0","propia","400000","casado","3","377160","2","19791009","0"
"3008025","30","0","familiar","350000","casado","3","306474.01","1","19660809","0"
"3008026","30","11200","propia","250000","soltero","3","162000","3","19760910","1"
"3008029","30","0","familiar","300000","union_libre","2","50000","1","19680530","0"
"3008030","30","19550","familiar","350000","union_libre","0","0","0","19690829","0"
"3008036","30","10000","propia","400000","casado","2","140000","1","19670614","0"
"3008128","30","0","familiar","200000","soltero","3","120000","4","19590610","0"
"3008129","30","38028","propia","900000","casado","1","60000","2","19700716","0"
"3008132","30","9160","familiar","300000","union_libre","3","89216","2","19720104","0"
"3008141","30","0","propia","320000","soltero","2","50000","0","19690904","0"
"3008197","30","0","familiar","250000","casado","1","80000","2","19700409","0"
"3008302","30","0","familiar","250000","soltero","3","150000","0","19640517","1"
"3008303","30","0","familiar","250000","casado","4","212000","3","19700929","0"
"3008306","30","0","familiar","245000","casado","3","151000","0","19691028","0"
"3008337","30","0","familiar","300000","casado","2","171000","1","19910709","0"
"3008338","30","20850","familiar","200000","soltero","4","669880","1","19700615","0"
"3008339","30","0","propia","300000","union_libre","3","254800","4","19780910","0"
"3008372","30","0","propia","300000","union_libre","4","272500","0","19730727","0"
"3008374","30","5160","propia","250000","casado","1","57500","1","19651002","0"
"3008403","30","0","familiar","400000","union_libre","3","168000","2","19760829","0"
"3008512","30","0","familiar","480000","casado","2","165000","2","19861104","0"
"3008531","30","0","propia","600000","casado","4","553357","2","19820415","0"
"3008571","30","0","familiar","200000","casado","3","255000","2","19780319","1"
"3008572","30","0","familiar","400000","soltero","4","693583.75","1","19670313","0"
"3008584","30","0","familiar","300000","casado","3","73600","2","19641021","0"
"3008591","30","0","familiar","600000","casado","3","146000","2","19891014","0"
"3008597","30","0","familiar","250000","soltero","4","358897.93","1","19740417","0"
"3008691","30","0","familiar","340000","union_libre","2","100500","3","19800619","0"
"3008693","30","0","familiar","100000","casado","3","304690.52","3","19880508","0"
"3008694","30","14600","familiar","200000","casado","4","165000","4","19830612","1"
"3008794","30","0","familiar","400000","soltero","2","183400","2","19780622","0"
"3008795","30","17200","familiar","250000","casado","0","0","4","19690125","0"
"3008798","30","0","familiar","200000","soltero","0","0","0","19740207","0"
"3008799","30","0","familiar","450000","union_libre","3","381632","2","19830219","0"
"3008890","30","0","familiar","150000","casado","3","165000","1","19671025","0"
"3008891","30","7800","familiar","200000","casado","4","397288","2","19860120","0"
"3008892","30","0","familiar","250000","soltero","1","13500","2","19680606","0"
"3008893","30","14400","familiar","200000","casado","0","0","3","19940301","0"
"3008901","30","23800","propia","322000","union_libre","3","115884","1","19790206","1"
"3008923","30","9560","propia","200000","soltero","3","124000","2","19720113","0"
"3008979","30","16900","familiar","350000","union_libre","3","305045","3","19861021","1"
"3008980","30","0","familiar","450000","soltero","4","543993","3","19800415","0"
"3008983","30","0","familiar","400000","soltero","3","564000","2","19730616","0"
"3009021","30","0","familiar","500000","casado","0","0","3","19741015","0"
"3009072","30","8806.04","propia","300000","casado","2","80000","2","19770904","0"
"3009073","30","15200","propia","200000","soltero","4","352540","3","19781204","0"
"3009074","30","0","propia","350000","casado","0","0","2","19890326","1"
"3009075","30","0","propia","350000","union_libre","2","150000","3","19831130","0"
"3009152","30","0","familiar","900000","casado","1","40000","3","19820630","1"
"3009209","30","0","propia","250000","casado","4","241600","0","19670911","1"
"3009259","30","0","propia","0","casado","0","0","0","19650128","0"
"3009260","30","0","familiar","700000","casado","1","25000","3","19770121","1"
"3009317","30","32000","propia","550000","soltero","3","437500","3","19810122","0"
"3009318","30","13000","familiar","250000","casado","3","224000","2","19670909","0"
"3009369","30","13000","familiar","220000","union_libre","1","60000","1","19890523","0"
"3009371","30","12400","propia","260000","soltero","0","0","0","19720103","0"
"3009445","30","19100","familiar","250000","union_libre","2","90000","0","19910821","0"
"3009446","30","23400","familiar","250000","union_libre","1","60000","1","19830828","0"
"3009451","30","12400","familiar","100000","union_libre","2","52376","3","19870301","1"
"3009471","30","0","propia","0","casado","0","0","0","19780720","0"
"3009507","30","21794","propia","250000","union_libre","1","35000","3","19840906","1"
"3009511","30","29100","familiar","410000","soltero","1","60000","2","19890408","0"
"3009615","30","23500","propia","350000","soltero","0","0","2","19721116","0"
"3009617","30","21500","propia","350000","casado","2","170000","1","19810403","1"
"3009618","30","0","familiar","0","casado","0","0","0","19871212","0"
"3009793","30","17244","propia","450000","union_libre","3","174968","2","19890622","0"
"3009814","30","31400","familiar","700000","casado","2","105000","1","19730826","0"
"3009816","30","21049","familiar","850000","casado","3","154600","1","19680403","0"
"3009820","30","0","propia","400000","union_libre","3","15000","3","19610530","0"
"3010007","30","0","familiar","220000","union_libre","3","290080","3","19750101","0"
"3010008","30","0","propia","200000","casado","4","222000","3","19720203","0"
"3010009","30","0","familiar","280000","casado","4","211500","2","19791022","0"
"3010010","30","0","propia","250000","casado","1","16000","2","19640704","1"
"3010012","30","0","propia","280000","casado","2","105000","2","19730605","0"
"3010113","30","0","familiar","310000","casado","4","624002","1","19720824","0"
"3010195","30","0","familiar","250000","casado","1","56106","2","19610312","0"
"3010196","30","0","propia","400000","casado","4","295000","0","19610427","0"
"3010198","30","0","familiar","550000","soltero","3","567306","0","19561127","1"
"3010199","30","0","familiar","180000","casado","2","270283","2","19761015","0"
"3010213","30","0","familiar","470000","casado","2","291000","4","19721207","0"
